season,week,celebrity_name,fan_votes_mean,fan_votes_std,fan_votes_ci_lower,fan_votes_ci_upper,fan_votes_median
18,9,Meryl Davis,2791986.2289616754,282102.6826454263,2256021.4603244998,3373775.9454048793,2782649.1284815376
18,10,James Maslow,1937080.970004279,199351.87596859736,1561985.3172112035,2339707.040259497,1930697.6298573967
18,10,Candace Cameron Bure,1884933.3662092146,187909.0254388066,1517093.466086388,2249215.7680359175,1889328.503576834
18,10,Amy Purdy,2708156.978028965,280595.5795921924,2140892.9661026914,3210483.7823850783,2719520.287620761
18,10,Meryl Davis,3467332.777264078,333922.996439749,2763955.8831776273,4082302.00804253,3477462.5494590104
19,1,Antonio Sabato Jr.,508477.3546297677,51243.80990644758,410799.28739136714,602495.3876142284,510948.97052437364
19,1,Jonathan Bennett,709106.0537191477,73090.45631625413,575146.477484047,844226.6565539022,710604.378241292
19,1,Lea Thompson,801478.1051714369,78001.39020840637,658721.1750238371,950375.5573688695,798983.3132785794
19,1,Janel Parrish,1070931.7253884193,105745.78548974212,872581.7067910113,1276883.987713737,1070306.5864205628
19,1,Alfonso Ribeiro,1263726.3646672268,130173.42255225319,1013568.6568723136,1539235.0606105062,1263345.2259950659
19,1,Lolo Jones,232758.0167730242,22295.294522381122,190044.43319366063,276640.3022197496,232770.74260565036
19,1,Randy Couture,703939.9720782508,69647.80431536227,573171.0382061709,844305.8345761057,703402.0928786476
19,1,Tommy Chong,864096.0254079417,86157.56063943029,695768.7341136399,1031215.9707021624,859740.8612129209
19,1,Betsey Johnson,410523.76356257783,42200.377061072766,326702.2887771503,486800.6919299673,412171.13619811943
19,1,Michael Waltrip,603236.5834045613,58901.423607252305,499511.90155097505,720115.3886922927,600549.8585561427
19,1,Tavis Smiley,520547.90209937235,50219.69108553009,413500.13988145464,612283.6715718574,524195.97803021653
19,1,Bethany Mota,1162361.255845705,109419.30215777151,932851.3818720351,1386143.543325101,1166121.1709546065
19,1,Sadie Robertson,1166960.1538147372,116969.92037737755,951354.6827115675,1397052.555534311,1164884.5880737812
19,2,Antonio Sabato Jr.,833792.3916342488,81805.17876066797,674417.3164980067,990667.450470459,834884.6789327313
19,2,Jonathan Bennett,729791.8280017362,74605.16157778093,581133.5326077774,875231.4899874559,725699.8522107227
19,2,Lea Thompson,1046286.4554118833,106224.8696927158,838575.7310819569,1257915.9541920738,1045508.214584813
19,2,Janel Parrish,1234937.4228749643,122106.1764229128,997757.745791728,1503197.1851100384,1226868.8593376642
19,2,Alfonso Ribeiro,1132391.0768540564,110944.08598450225,926912.1001944911,1335232.1028529583,1129020.2560153224
19,2,Randy Couture,622674.0869418642,60146.89352783348,511855.1537917574,736320.7219000515,621298.0371966995
19,2,Tommy Chong,714774.9118961976,70809.23585496517,572807.5303527886,849551.535185868,716332.4112343709
19,2,Betsey Johnson,525396.5703634652,54126.85451943097,422891.9003963139,628633.5711722422,523040.2078636683
19,2,Michael Waltrip,405150.1749039428,42510.65660631442,317902.9699675904,487657.52586912026,404845.82089083735
19,2,Tavis Smiley,423702.8714175403,39136.97723191624,347949.932523362,499220.7487478303,424137.5392251289
19,2,Bethany Mota,1227337.3186442715,125013.70096617774,975637.7921598132,1472964.1371859428,1223112.6330990843
